PropertyCount,GroupName,ContactPropertyID,ContactPropertyName,IsDefault,Label,InputName,InputID,Category,InputType,FieldTypeCode,ContactPropertyDescription,IsDeleted,GroupID,IsContactPropertySystem,IsUsedInForm,AllowManualChange,TenantID,OwnerID,OwnerName,ModifiedUserID,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,State,ContactPropertyOptions
2,Khác,6b65e363-8049-44a8-a097-adafe9e60a77,CUKCUK GHI CHÚ,false,CUKCUK GHI CHÚ,cukcuk_ghi_chu,cukcuk_ghi_chu,2,4,mlt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,de1c5b30-91c1-429a-b0ed-cf77f0be922d,Lê Tuấn Anh,de1c5b30-91c1-429a-b0ed-cf77f0be922d,2022-04-01T04:11:00.000Z,A-0321,2022-04-01T04:11:00.000Z,A-0321,0,
11,Khác,6b048c11-e82c-4043-a3b1-5417f394eee9,cukcuk ten,false,cukcuk ten,cukcuk_ten,cukcuk_ten,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-08-21T03:34:51.000Z,A-0295,2021-08-21T03:34:51.000Z,A-0295,0,
0,Khác,5d731d4e-c44d-4c4f-9ed2-de95bff4a79a,cukcuk ten test,false,cukcuk ten test,cukcuk_ten_test,cukcuk_ten_test,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-08-21T03:35:02.000Z,A-0295,2021-08-21T03:35:02.000Z,A-0295,0,
2,Khác,49391c1c-845e-49c9-8331-312c68aad5f8,Danh sách tham gia,false,Danh sách tham gia,danh_sach_tham_gia,danh_sach_tham_gia,1,4,mlt,"(Điền theo cú pháp: Họ và tên - Vị trí công việc - Số điện thoại ( dùng để add zalo trao đổi trước, trong và sau Hội thảo)",false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-08-14T03:58:42.000Z,A-0295,2021-08-14T03:58:42.000Z,A-0295,0,
468,Thông tin liên hệ,e090c8b0-0a65-11ec-bd2a-005056b2f358,Email,false,Email,email,email,2,0,slt,email của liên hệ,false,e090b4eb-0a65-11ec-bd2a-005056b2f358,true,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,00000000-0000-0000-0000-000000000000,aiMarketing,00000000-0000-0000-0000-000000000000,2021-08-31T21:15:21.000Z,aiMarketing,2021-08-31T21:15:21.000Z,aiMarketing,0,
0,Khác,1b53ad3b-d795-48fa-a682-3fea42d24195,Email (cukcuk),false,Email (cukcuk),email_cukcuk,email_cukcuk,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2022-04-08T02:29:41.000Z,A-0295,2022-04-08T02:29:41.000Z,A-0295,0,
0,Thông tin liên hệ,b9cfbab7-5102-11ec-bd2a-005056b2f358,Email cơ quan,false,Email cơ quan,email_co_quan,email_co_quan,0,0,slt,Email cơ quan của liên hệ,false,e090b4eb-0a65-11ec-bd2a-005056b2f358,true,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,00000000-0000-0000-0000-000000000000,aiMarketing,00000000-0000-0000-0000-000000000000,2021-11-29T17:54:29.000Z,aiMarketing,2021-11-29T17:54:29.000Z,aiMarketing,0,
7,Khác,c4ce8e01-7418-41c4-a8a0-23fa7a0b85dc,eshop name,false,eshop name,eshop_name,eshop_name,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-09-29T04:43:24.000Z,A-0295,2021-09-29T04:43:24.000Z,A-0295,0,
0,Khác,ff0c49c6-7798-42b9-9605-b430a2137ae7,eshop name test,false,eshop name test,eshop_name_test,eshop_name_test,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-09-29T04:43:13.000Z,A-0295,2021-09-29T04:43:13.000Z,A-0295,0,
0,Khác,0ee8697f-a715-446b-9f71-f2b0e8d6a85e,eshop name test 2,false,eshop name test 2,eshop_name_test_2,eshop_name_test_2,2,0,slt,,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,b900f351-ed11-4f02-8777-edb0de7fd3fe,2021-09-29T10:36:53.000Z,A-0295,2021-09-29T10:36:53.000Z,A-0295,0,
0,Khác,e07182b0-f1aa-44e6-be17-793c194b5073,Ghi chú từ AMIS Platform,false,Ghi chú từ AMIS Platform,ghi_chu_tu_amis_platform,ghi_chu_tu_amis_platform,2,4,mlt,Ghi chú từ form cài đặt ứng dụng trên AMIS Platform,false,e090b839-0a65-11ec-bd2a-005056b2f358,false,true,true,56c33c47-78ec-4b3a-92ba-9fdb7830a6d4,b900f351-ed11-4f02-8777-edb0de7fd3fe,Nguyễn Thị Duyên,40b2d134-64d7-4b88-b312-a384a35b01c4,2022-01-24T08:46:20.000Z,A-0295,2022-01-24T08:49:04.000Z,B-0677,0,
